ID,Summary,Epic,Phase,Size,Boards,Depends on,Status,Description,Acceptance criteria
BL-013,Python labid.py,EL LABID common library,PL,S,host,BL-011,done,Same framing + CRC in host/labflash/labid.py.,Passes the same test_vectors.json | mypy clean
BL-014,Packaging: Zephyr module + IDF component,EL LABID common library,PL,S,common,BL-010,blocked,"One source, two build integrations. [BLOCKED: AC requires Zephyr native_sim + IDF linux builds; Zephyr path on hold + throttle != 0x0]",Builds for Zephyr native_sim and IDF linux target
BL-020,IDF blink app + toggles + 5 variants + task WDT,E1 ESP32-S3 #2 — ESP-IDF,P1,M,idf,BL-005;BL-014,blocked,"FreeRTOS blink task (led_strip), toggles counter, variants per PLAN §5.3, CONFIG_ESP_TASK_WDT_PANIC. [PROGRESS 2026-09-20: ESP-IDF v6.0.3 installed on this host (git clone --recursive --branch v6.0.3, install.sh esp32s3), idf.py --version confirms 'ESP-IDF v6.0.3' exact. All 5 variants built for real against the esp32s3 target: v1 (default build/), v2, no_confirm, hang, bad_sig each in their own -B build dir with a per-variant sdkconfig fragment, all exit 0. Verified each build actually compiled with the INTENDED variant selected (not silently defaulting to v1) by reading each build dir's generated config/sdkconfig.h: build/=CONFIG_APP_VARIANT_V1, build_v2/=CONFIG_APP_VARIANT_V2, build_no_confirm/=CONFIG_APP_VARIANT_NO_CONFIRM, build_hang/=CONFIG_APP_VARIANT_HANG, build_bad_sig/=CONFIG_APP_VARIANT_BAD_SIG. Real bug found and fixed along the way: (1) REQUIRES esp_task_wdt in main/CMakeLists.txt failed cmake configure -- that component was merged into esp_system in IDF v6, header now lives at esp_system/include/esp_task_wdt.h, fixed to REQUIRES esp_system. (2) app_main.c passed the Kconfig macro CONFIG_APP_VARIANT_V2 directly as a runtime function argument -- compile error 'undeclared', because IDF Kconfig choice macros for UNSELECTED options are not defined as 0, they simply don't exist as a symbol; fixed by wrapping in #if CONFIG_APP_VARIANT_V2/#else at compile time instead. .gitignore extended for esp_idf/build*/, managed_components/, sdkconfig.old (the per-variant build dirs weren't covered by the existing literal 'build/' pattern). 'All 5 variants build' AC is now genuinely met with real evidence. Still blocked -- 'v1 blinks 1 Hz', 'hang variant resets within 10s', and the R13 USB-serial-as-MAC AC all require an authorized real flash, which has not happened.] [EVIDENCE 2026-09-20, full honest chain: GPIO48 (Kconfig default) tried first -> LED showed steady, non-blinking light -> GPIO38 tried based on that signal (also steady) -> console-routing fix attempted (CONFIG_ESP_CONSOLE_USB_SERIAL_JTAG=y) -> still zero serial output across every capture method (idf.py monitor with/without --no-reset, raw cat, pyserial with dtr/rts forced False) -> discovered the board resets into ROM bootloader on ANY port open, confirmed via esptool --before no-reset repeatedly reporting 'Stub flasher is already running' / 'Staying in bootloader' -> DTR/RTS suppression tested and ruled out as a fix -> a TRUE PHYSICAL power-cycle (unplug/replug on the Windows host, bypassing usbipd/DTR-RTS entirely) produced a stable running state: lab-esp-idf blinked white at 1Hz on GPIO48, visually counted and confirmed by the owner. This proves GPIO48 was correct all along and the blink logic was never buggy -- every 'steady light' observation before this was R14's reset-into-bootloader behavior, not a code or pin defect. Full root-cause and impact recorded as PLAN Sec 9 R14 (this also revealed R14 as a likely HARD BLOCKER for BL-022, which needs sustained bidirectional serial). 'v1 blinks 1 Hz' AC: PASS. R13 AC: PASS, unaffected by any of this (confirmed via USB descriptor enumeration, not app-level serial). 'hang variant resets within 10s' AC: still open, and its testability itself is now in question -- a watchdog-triggered reset and an R14 bootloader-reset may be visually indistinguishable without reliable serial confirmation of the actual reset cause. Kconfig.projbuild's default is 48 (unchanged from before this cycle, comment updated to reflect confirmed status); rig.yaml's idf.led_gpio updated from 'unknown' to 48; BL-005 updated to reflect partial resolution (idf side only, stays blocked on zephyr + PSRAM).] [UPDATE 2026-09-21: R14 root cause narrowed -- the reset-on-open is caused by the usbipd/WSL2 bridge, not the chip. With the idf board detached from usbipd and opened natively on Windows (COM14, miniterm --dtr 0 --rts 0), blink_diag logs streamed and the 1 Hz blink continued, on both a long-running board and a freshly power-cycled one (uptime restarted). So the 'hang variant resets within 10s' AC is testable via native Windows serial: the task-WDT panic and reboot show in the log. Hang variant rebuilt (build_hang, CONFIG_APP_VARIANT_HANG=1, GPIO48); flash + observation pending.]","All 5 variants build | v1 blinks 1 Hz | hang variant resets within 10 s | USB device serial descriptor is set to the chip MAC in normal run mode (not just bootloader mode) -- see PLAN §9 R13; labflash resolve_board() must still resolve this board after a normal boot, not only while in the ROM bootloader"
BL-021,IDF partitions + signing + rollback config,E1 ESP32-S3 #2 — ESP-IDF,P1,S,idf,BL-020;BL-006,todo,"partitions.csv (§4.2), sdkconfig.defaults (§6). No eFuse writes.",Signed build succeeds | Forbidden-config grep passes | efuse-summary unchanged after flash
BL-022,IDF LABID port on USB-Serial-JTAG,E1 ESP32-S3 #2 — ESP-IDF,P1,S,idf,BL-020;BL-013,todo,"Driver read task, app/bootloader descriptions, OTA state. [NOTE 2026-09-21: R14 is WSL2/usbipd-only (see PLAN Sec 9); sustained serial works natively on Windows and is expected to work on the RPi4 rig.]","ANNOUNCE ≤ 2 s after reset | ID?, VER?, STATE? ≤ 100 ms | Garbage input → ERR, no reset"
BL-023,IDF self-test + mark valid,E1 ESP32-S3 #2 — ESP-IDF,P1,S,idf,BL-021,todo,5 s health check then esp_ota_mark_app_valid_cancel_rollback().,VER? confirmed=1 after 5 s | no_confirm stays confirmed=0
BL-024,IDF WiFi + token provisioning via NVS,E1 ESP32-S3 #2 — ESP-IDF,P1,S,idf,BL-020,todo,labflash provision idf writes SSID/PSK/token over USB.,Board joins WiFi after reboot | No credentials in source or logs
BL-025,"IDF HTTPS control server (/ota, /version)",E1 ESP32-S3 #2 — ESP-IDF,P1,M,idf,BL-024,todo,"Bearer token, RPi4 self-signed CA pinned.",GET /version matches LABID VER.app | Wrong token → 401
BL-026,IDF WiFi OTA (esp_https_ota pull),E1 ESP32-S3 #2 — ESP-IDF,P1,M,idf,BL-025;BL-023,todo,"Pull from RPi4 HTTPS server, signature check on update.","v1 → v2 over WiFi, 4 Hz, confirmed=1 | bad_sig rejected, v1 keeps running"
BL-027,IDF BLE OTA (ble_ota + NimBLE + coexistence),E1 ESP32-S3 #2 — ESP-IDF,P1,L,idf,BL-023,todo,"esp-iot-solution ble_ota, NimBLE host, SW coexistence.",v2 → v1 over BLE | WiFi stays connected during BLE OTA | Interrupted transfer → old image still running
BL-028,IDF phase acceptance run,E1 ESP32-S3 #2 — ESP-IDF,P1,S,idf,BL-022;BL-026;BL-027,todo,Run all P1 acceptance checks.,All P1 checkboxes ticked with logs in the PR
BL-030,Zephyr west + sysbuild MCUboot + swap-with-revert check,E2 ESP32-S3 #1 — Zephyr,P2,M,zephyr,BL-002;BL-006,todo,FIRST ticket for Zephyr. Verify revert-capable swap mode on ESP32-S3.,MCUboot + hello app boot on the board | Swap mode decision written in PLAN §4.1 | ESCALATE to owner if only overwrite-only exists
BL-031,Zephyr blink app + toggles + 5 variants + watchdog,E2 ESP32-S3 #1 — Zephyr,P2,M,zephyr,BL-030;BL-005,todo,"LED strip driver (verify WS2812 backend), toggles, variants, hardware watchdog.","All 5 variants build and sign | v1 blinks 1 Hz | hang variant resets within 10 s | USB device serial descriptor is set to the chip MAC in normal run mode (not just bootloader mode) -- see PLAN §9 R13; labflash resolve_board() must still resolve this board after a normal boot, not only while in the ROM bootloader"
BL-032,Zephyr LABID port on console,E2 ESP32-S3 #1 — Zephyr,P2,S,zephyr,BL-031;BL-014,todo,"Console device (USB-Serial-JTAG), irq RX, hwinfo UID, boot API, shell off.","ANNOUNCE ≤ 2 s | ID?, VER?, STATE? ≤ 100 ms | 1 000 requests under heavy logging, 0 corrupt"
BL-033,Zephyr self-test + confirm + twister tests,E2 ESP32-S3 #1 — Zephyr,P2,S,zephyr,BL-031,todo,boot_write_img_confirmed() after 5 s; native_sim tests with mocked boot API.,twister passes | confirmed=1 on board after 5 s
BL-034,Zephyr mcumgr SMP over BLE,E2 ESP32-S3 #1 — Zephyr,P2,M,zephyr,BL-033,todo,MCUMGR image + os groups over BT.,"v1 → v2 over BLE, confirmed | no_confirm and hang revert | bad_sig refused by MCUboot"
BL-035,Zephyr WiFi + SMP over UDP (single build with BT),E2 ESP32-S3 #1 — Zephyr,P2,L,zephyr,BL-034,todo,"WiFi STA, DHCP, UDP SMP port 1337.","v2 → v1 over UDP | One build with BT + WiFi, OR documented reason + 2 variants + owner decision"
BL-036,Zephyr phase acceptance run,E2 ESP32-S3 #1 — Zephyr,P2,S,zephyr,BL-032;BL-035,todo,Run all P2 acceptance checks.,All P2 checkboxes ticked with logs in the PR
BL-040,"labflash core: config, UID resolution, re-enumeration wait",E3 labflash CLI,P3,M,host,BL-013;BL-007,done,"rig.yaml, resolve ports by UID, wait ≤ 5 s after resets, --json. [DONE 2026-09-20: host/labflash/core.py (load_rig_config, resolve_board, resolve_all_boards, BoardResolutionError), wired as `labflash resolve [--json] [--wait N]`. AC1 (never reuses stale ttyACMx): mocked test proves re-scan on every call — first call returns /dev/ttyACM0, second call (simulated reset reassigning the same board to /dev/ttyACM3) returns /dev/ttyACM3, not the memoized first value; also a mocked physical-port-swap case resolves both boards to their correct new paths by serial. AC2 (clear error on missing or swapped board): mocked missing-board and swapped-board cases both raise BoardResolutionError naming the board key, expected serial, and what's actually present. Live evidence, real boards: initial resolve_all_boards() correctly mapped {'zephyr': '/dev/ttyACM0', 'idf': '/dev/ttyACM1'}, matching prior MAC identification. A later real re-run, after the owner reset both boards out of bootloader mode, hit a genuine (not mocked) instance of AC2: idf's board enumerated with USB serial '123456' instead of its MAC E0:72:A1:AA:23:90, and resolve_board() correctly reported \""board 'idf' ... not found ... Devices present: 123456, AC:A7:04:2C:3B:04\"" rather than misattributing the wrong device — exact real-world confirmation of the AC, not staged. See PLAN.md §9 R13 for the architectural gap this real failure exposed (USB-serial-as-MAC is bootloader-mode-only; app firmware must explicitly set it).]",Never reuses stale ttyACMx | Clear error on missing or swapped board
BL-041,"identify, info, status, measure",E3 labflash CLI,P3,S,host,BL-040;BL-020;BL-022,blocked,"LABID discovery, cross-check, toggle-based Hz. Deps corrected 2026-09-20: AC needs real LABID+blink firmware, not just host code -- BL-020/BL-022 (IDF blink+LABID) are the minimum for IDF-side real verification. Full closure (both boards) additionally needs BL-031/BL-032 (Zephyr blink+LABID), which stay on hold until the Zephyr path resumes; this ticket may be closable IDF-only in the meantime with Zephyr verification deferred. [BLOCKED 2026-09-20: host/labflash/identify.py implemented (wait_for_announce, query, identify, get_version, get_state, cross_check_identity, measure_toggles, SerialLineTransport) per PLAN §7.3's exact frame protocol. Host-side logic verified via a mocked LABID transport -- identify() correctly maps both boards' ID frames to rig.yaml by uid/mac and correctly rejects a mismatched cross-check; measure_toggles() correctly computes a toggle delta within ± 1 of a simulated 1Hz blinker's expected count over a 5s window. Cannot close -- AC requires live board evidence from BL-020+BL-022 (IDF blink+LABID firmware), which don't exist yet; SerialLineTransport (the real, non-mocked path) is written but untested against real hardware for the same reason. Will re-verify against real hardware once that firmware is flashed.]",identify maps both boards | measure within ± 1 toggle over 5 s
BL-042,"flash, recover, provision (USB)",E3 labflash CLI,P3,S,host,BL-040;BL-020;BL-021,todo,"esptool / west / idf.py wrappers with identity check before writing. Deps corrected 2026-09-20: ""Factory flash both boards"" needs an actual signed image to flash -- BL-020/BL-021 (IDF blink app + partitions/signing) are the minimum for IDF-side real verification. Full closure (both boards) additionally needs BL-030/BL-031 (Zephyr bootloader+blink), which stay on hold until the Zephyr path resumes.",Factory flash both boards | Refuses to flash if board= mismatches
BL-043,update idf --transport ble|wifi,E3 labflash CLI,P3,M,host;idf,BL-040;BL-028,todo,Python ble_ota client + HTTPS trigger + local HTTPS server.,Both transports update and verify via LABID
BL-044,update zephyr --transport ble|udp,E3 labflash CLI,P3,M,host;zephyr,BL-040;BL-036,todo,SMP client over BLE and UDP.,"Both transports update, SMP version == LABID version"
BL-045,build + sign orchestration,E3 labflash CLI,P3,S,host,BL-040;BL-020;BL-021;BL-030;BL-031,todo,"labflash build <board|all> --variant. Deps corrected 2026-09-20: AC (""Builds all 10 images, 2 boards x 5 variants"") explicitly requires both boards' app code and signing to exist -- BL-020/BL-021 (IDF) and BL-030/BL-031 (Zephyr), unlike BL-041/BL-042 this ticket cannot be partially satisfied IDF-only, so it stays effectively blocked until the Zephyr path resumes.",Builds all 10 images (2 boards × 5 variants)
BL-046,labflash mocked unit tests,E3 labflash CLI,P3,M,host,BL-041;BL-042;BL-043;BL-044;BL-045,todo,pytest with mocked BLE / serial / HTTP.,Line coverage ≥ 80 % | ruff + mypy clean
BL-050,"HIL framework: fixtures, markers, artifacts",E4 HIL tests + CI,P4,M,host,BL-046,todo,"rig fixture, factory_reset, btmon capture, JUnit.",Dummy HIL test runs on both boards and restores v1
BL-051,HIL T01–T03 boot + update,E4 HIL tests + CI,P4,S,zephyr;idf,BL-050,todo,PLAN §8 P4 matrix.,Green on all board/transport combinations
BL-052,"HIL T04–T09 rollback, security, robustness",E4 HIL tests + CI,P4,M,zephyr;idf,BL-050,todo,"no_confirm, hang, bad_sig, corrupt, interrupted, token.",Green on all combinations
BL-053,HIL T10–T15 LABID + identity + USB,E4 HIL tests + CI,P4,S,zephyr;idf,BL-050,todo,"identify, UID stability, version consistency, ERR, heavy logging, 50 resets.",All green
BL-054,(Stretch) HIL T17 power cut,E4 HIL tests + CI,P4,M,zephyr;idf,BL-050,todo,Needs per-port switchable hub.,"Recovers every run, or skipped if no hub"
BL-055,build.yml cloud CI,E4 HIL tests + CI,P4,M,host,BL-028;BL-036,todo,"Builds, unit tests, fuzz smoke, forbidden-config grep, CI test keys.",Green on main | Signed artifacts uploaded
BL-056,hil.yml self-hosted runner on RPi4,E4 HIL tests + CI,P4,M,host,BL-055;BL-051,todo,"Private repo, dedicated runner user, concurrency: hil.",HIL job runs on PR | Runner has no sudo and no access to keys/
BL-057,Full HIL suite green 3× in a row,E4 HIL tests + CI,P4,S,zephyr;idf,BL-051;BL-052;BL-053;BL-056,todo,Stability gate.,3 consecutive green runs | Runtime documented
BL-060,Overnight soak ×100,"E5 Soak, docs, handover",P5,S,zephyr;idf,BL-057,todo,T16 repeated per board/transport.,Pass rate ≥ 99 % | Root cause logged for every failure
BL-061,README quick start,"E5 Soak, docs, handover",P5,S,host,BL-057,todo,< 5 min from clone to first OTA.,Fresh clone reaches T02 green following README only
BL-062,Recovery runbook + adding-a-board guide,"E5 Soak, docs, handover",P5,S,host,BL-057,todo,"docs/recovery.md, docs/adding-a-board.md.",Recovery tested once per board from the docs
BL-063,Final PLAN.md update,"E5 Soak, docs, handover",P5,S,host,BL-060,todo,"Pinned versions, Zephyr partitions, deviations.",PLAN.md matches the delivered repo
